Zeit;Verbrauch 
05.01. 21:30;8,2903
05.01. 21:45;8,0838
05.01. 22:00;7,8773
05.01. 22:15;7,6708
05.01. 22:30;7,4643
05.01. 22:45;7,2577
05.01. 23:00;7,0512
05.01. 23:15;6,8545
05.01. 23:30;6,648
05.01. 23:45;6,4316
06.01. 00:00;6,2153
06.01. 00:15;5,9989
06.01. 00:30;5,7924
06.01. 00:45;5,6056
06.01. 01:00;5,4384
06.01. 01:15;5,281
06.01. 01:30;5,1237
06.01. 01:45;4,9663
06.01. 02:00;4,7893
06.01. 02:15;4,6123
06.01. 02:30;4,4451
06.01. 02:45;4,3173
06.01. 03:00;4,2288
06.01. 03:15;4,1796
06.01. 03:30;4,1501
06.01. 03:45;4,1304
06.01. 04:00;4,1206
06.01. 04:15;4,1107
06.01. 04:30;4,1107
06.01. 04:45;4,1304
06.01. 05:00;4,1894
06.01. 05:15;4,2681
06.01. 05:30;4,3664
06.01. 05:45;4,5041
06.01. 06:00;4,6615
06.01. 06:15;4,8188
06.01. 06:30;4,9565
06.01. 06:45;5,0548
06.01. 07:00;5,0942
06.01. 07:15;5,0843
06.01. 07:30;5,0352
06.01. 07:45;4,9663
06.01. 08:00;4,8778
06.01. 08:15;4,8188
06.01. 08:30;4,7992
06.01. 08:45;4,868
06.01. 09:00;5,045
06.01. 09:15;5,2909
06.01. 09:30;5,5859
06.01. 09:45;5,8809
06.01. 10:00;6,1563
06.01. 10:15;6,4021
06.01. 10:30;6,6087
06.01. 10:45;6,7955
06.01. 11:00;6,9627
06.01. 11:15;7,1004
06.01. 11:30;7,2282
06.01. 11:45;7,3462
06.01. 12:00;7,4741
06.01. 12:15;7,6019
06.01. 12:30;7,7101
06.01. 12:45;7,8085
06.01. 13:00;7,8773
06.01. 13:15;7,9166
06.01. 13:30;7,897
06.01. 13:45;7,8085
06.01. 14:00;7,6511
06.01. 14:15;7,4446
06.01. 14:30;7,2184
06.01. 14:45;6,9824
06.01. 15:00;6,7758
06.01. 15:15;6,589
06.01. 15:30;6,412
06.01. 15:45;6,2448
06.01. 16:00;6,0973
06.01. 16:15;6,0186
06.01. 16:30;6,0776
06.01. 16:45;6,3431
06.01. 17:00;6,8349
06.01. 17:15;7,4741
06.01. 17:30;8,1232
06.01. 17:45;8,6345
06.01. 18:00;8,9296
06.01. 18:15;9,0574
06.01. 18:30;9,0771
06.01. 18:45;9,0967
06.01. 19:00;9,1558
06.01. 19:15;9,2443
06.01. 19:30;9,3033
06.01. 19:45;9,2836
06.01. 20:00;9,1459
06.01. 20:15;8,9296
06.01. 20:30;8,6542
06.01. 20:45;8,3592
06.01. 21:00;8,074
06.01. 21:15;7,8085
06.01. 21:30;7,5626
06.01. 21:45;7,3462
06.01. 22:00;7,1594
06.01. 22:15;6,9922
06.01. 22:30;6,8152
06.01. 22:45;6,6185
06.01. 23:00;6,3923
06.01. 23:15;6,1563
06.01. 23:30;5,9399
06.01. 23:45;5,7924
07.01. 00:00;6,4415
07.01. 00:15;6,1563
07.01. 00:30;5,8613
07.01. 00:45;5,6056
07.01. 01:00;5,3892
07.01. 01:15;5,222
07.01. 01:30;5,0843
07.01. 01:45;4,9663
07.01. 02:00;4,8582
07.01. 02:15;4,7696
07.01. 02:30;4,7106
07.01. 02:45;4,691
07.01. 03:00;4,7106
07.01. 03:15;4,7893
07.01. 03:30;4,9368
07.01. 03:45;5,1434
07.01. 04:00;5,4187
07.01. 04:15;5,7236
07.01. 04:30;6,0186
07.01. 04:45;6,2448
07.01. 05:00;6,3923
07.01. 05:15;6,4907
07.01. 05:30;6,5988
07.01. 05:45;6,7955
07.01. 06:00;7,1299
07.01. 06:15;7,5823
07.01. 06:30;8,1527
07.01. 06:45;8,8214
07.01. 07:00;9,5983
07.01. 07:15;10,552
07.01. 07:30;11,791
07.01. 07:45;13,414
07.01. 08:00;15,45
07.01. 08:15;17,653
07.01. 08:30;19,718
07.01. 08:45;21,321
07.01. 09:00;22,245
07.01. 09:15;22,619
07.01. 09:30;22,658
07.01. 09:45;22,609
07.01. 10:00;22,619
07.01. 10:15;22,737
07.01. 10:30;22,914
07.01. 10:45;23,16
07.01. 11:00;23,416
07.01. 11:15;23,602
07.01. 11:30;23,642
07.01. 11:45;23,435
07.01. 12:00;22,914
07.01. 12:15;22,137
07.01. 12:30;21,213
07.01. 12:45;20,219
07.01. 13:00;19,246
07.01. 13:15;18,361
07.01. 13:30;17,623
07.01. 13:45;17,092
07.01. 14:00;16,817
07.01. 14:15;16,787
07.01. 14:30;16,984
07.01. 14:45;17,367
07.01. 15:00;17,908
07.01. 15:15;18,508
07.01. 15:30;19,069
07.01. 15:45;19,482
07.01. 16:00;19,678
07.01. 16:15;19,737
07.01. 16:30;19,757
07.01. 16:45;19,846
07.01. 17:00;20,062
07.01. 17:15;20,239
07.01. 17:30;20,21
07.01. 17:45;19,757
07.01. 18:00;18,754
07.01. 18:15;17,367
07.01. 18:30;15,784
07.01. 18:45;14,24
07.01. 19:00;12,912
07.01. 19:15;11,811
07.01. 19:30;10,946
07.01. 19:45;10,287
07.01. 20:00;9,8343
07.01. 20:15;9,5098
07.01. 20:30;9,2541
07.01. 20:45;9,0082
07.01. 21:00;8,7034
07.01. 21:15;8,3788
07.01. 21:30;8,074
07.01. 21:45;7,8085
07.01. 22:00;7,6314
07.01. 22:15;7,5134
07.01. 22:30;7,4347
07.01. 22:45;7,3462
07.01. 23:00;7,2479
07.01. 23:15;7,1102
07.01. 23:30;6,9332
07.01. 23:45;6,707
08.01. 00:00;6,4415
08.01. 00:15;6,1563
08.01. 00:30;5,8613
08.01. 00:45;5,6056
08.01. 01:00;5,3892
08.01. 01:15;5,222
08.01. 01:30;5,0843
08.01. 01:45;4,9663
08.01. 02:00;4,8582
08.01. 02:15;4,7696
08.01. 02:30;4,7106
08.01. 02:45;4,691
08.01. 03:00;4,7106
08.01. 03:15;4,7893
08.01. 03:30;4,9368
08.01. 03:45;5,1434
08.01. 04:00;5,4187
08.01. 04:15;5,7236
08.01. 04:30;6,0186
08.01. 04:45;6,2448
08.01. 05:00;6,3923
08.01. 05:15;6,4907
08.01. 05:30;6,5988
08.01. 05:45;6,7955
08.01. 06:00;7,1299
08.01. 06:15;7,5823
08.01. 06:30;8,1527
08.01. 06:45;8,8214
08.01. 07:00;9,5983
08.01. 07:15;10,552
08.01. 07:30;11,791
08.01. 07:45;13,414
08.01. 08:00;15,45
08.01. 08:15;17,653
