Datum;price;;
05.02.2024;4,015;;
05.02.2024;0,705;;
05.02.2024;0,109;;
05.02.2024;0,501;;
05.02.2024;5,31;;
05.02.2024;6,072;;
05.02.2024;6,847;;
05.02.2024;6,878;;
05.02.2024;6,184;;
05.02.2024;6,048;;
05.02.2024;5,965;;
05.02.2024;5,63;;
05.02.2024;4,741;;
06.02.2024;3,504;;
06.02.2024;2,765;;
06.02.2024;0,708;;
06.02.2024;0,307;;
06.02.2024;0,194;;
06.02.2024;1,938;;
06.02.2024;5;;
06.02.2024;6,816;;
06.02.2024;6,2;;
06.02.2024;6,135;;
06.02.2024;5,656;;
06.02.2024;5,17;;
06.02.2024;4,347;;
06.02.2024;4,254;;
06.02.2024;4,011;;
06.02.2024;4,991;;
06.02.2024;5,652;;
06.02.2024;6,297;;
06.02.2024;6,196;;
06.02.2024;6,116;;
06.02.2024;5,914;;
06.02.2024;5,644;;
06.02.2024;5,652;;
06.02.2024;5,236;;
07.02.2024;4,117;;
07.02.2024;3,552;;
07.02.2024;3,415;;
07.02.2024;4,659;;
07.02.2024;5,447;;
07.02.2024;5,963;;
07.02.2024;7,483;;
07.02.2024;8,667;;
07.02.2024;8,7;;
07.02.2024;8,553;;
07.02.2024;8,117;;
07.02.2024;7,801;;
07.02.2024;7,598;;
07.02.2024;7,924;;
07.02.2024;7,799;;
07.02.2024;8,821;;
07.02.2024;9,73;;
07.02.2024;12,005;;
07.02.2024;13,622;;
07.02.2024;10,97;;
07.02.2024;9,991;;
07.02.2024;8,765;;
07.02.2024;8,363;;
07.02.2024;7,921;;
08.02.2024;7,37;;
08.02.2024;7,32;;
08.02.2024;7,215;;
08.02.2024;7,294;;
08.02.2024;7,365;;
08.02.2024;7,785;;
08.02.2024;8,708;;
08.02.2024;11;;
08.02.2024;13,315;;
08.02.2024;11,355;;
08.02.2024;9,779;;
08.02.2024;9,187;;
08.02.2024;8,938;;
08.02.2024;9,098;;
08.02.2024;9,49;;
08.02.2024;9,438;;
08.02.2024;9,301;;
08.02.2024;10,3;;
08.02.2024;9,467;;
08.02.2024;8,606;;
08.02.2024;8,32;;
08.02.2024;8,061;;
08.02.2024;7,56;;
08.02.2024;6,598;;
09.02.2024;6,043;;
09.02.2024;5,861;;
09.02.2024;5,574;;
09.02.2024;5,161;;
09.02.2024;4,996;;
09.02.2024;5,232;;
09.02.2024;5,908;;
09.02.2024;6,679;;
09.02.2024;7,013;;
09.02.2024;6,837;;
09.02.2024;6,952;;
09.02.2024;6,994;;
09.02.2024;6,785;;
09.02.2024;6,774;;
09.02.2024;7,322;;
09.02.2024;8,156;;
09.02.2024;9,012;;
09.02.2024;9,545;;
09.02.2024;9,545;;
09.02.2024;8,705;;
09.02.2024;8,044;;
09.02.2024;7,52;;
09.02.2024;7,491;;
09.02.2024;7,094;;
10.02.2024;6,31;;
10.02.2024;6,408;;
10.02.2024;6,44;;
10.02.2024;6,439;;
10.02.2024;6,441;;
10.02.2024;6,582;;
10.02.2024;7,091;;
10.02.2024;7,486;;
10.02.2024;7,77;;
10.02.2024;8,038;;
10.02.2024;7,459;;
10.02.2024;6,943;;
10.02.2024;6,83;;
10.02.2024;6,672;;
10.02.2024;6,953;;
10.02.2024;7,717;;
10.02.2024;8,613;;
10.02.2024;8,895;;
10.02.2024;8,762;;
10.02.2024;8,101;;
10.02.2024;7,44;;
10.02.2024;6,784;;
10.02.2024;6,586;;
10.02.2024;6,346;;
11.02.2024;5,548;;
11.02.2024;5,367;;
11.02.2024;5,26;;
11.02.2024;4,683;;
11.02.2024;4,364;;
11.02.2024;4,625;;
11.02.2024;4,919;;
11.02.2024;5,316;;
11.02.2024;5,506;;
11.02.2024;5,797;;
11.02.2024;6,116;;
11.02.2024;6,554;;
11.02.2024;6,46;;
11.02.2024;6,212;;
11.02.2024;6,399;;
11.02.2024;6,63;;
11.02.2024;7,069;;
11.02.2024;7,85;;
11.02.2024;8,074;;
11.02.2024;7,972;;
11.02.2024;7,675;;
11.02.2024;7,072;;
11.02.2024;6,839;;
11.02.2024;6,401;;
12.02.2024;6,435;;
12.02.2024;6,159;;
12.02.2024;6,065;;
12.02.2024;5,939;;
12.02.2024;5,921;;
12.02.2024;6,5;;
12.02.2024;7,6;;
12.02.2024;8,541;;
12.02.2024;10,4;;
12.02.2024;9,65;;
12.02.2024;8,547;;
12.02.2024;7,914;;
12.02.2024;6,737;;
12.02.2024;6,375;;
12.02.2024;6,395;;
12.02.2024;6,64;;
12.02.2024;7,842;;
12.02.2024;9,39;;
12.02.2024;9,6;;
12.02.2024;8,908;;
12.02.2024;7,915;;
12.02.2024;7,154;;
12.02.2024;6,587;;
12.02.2024;6,19;;
13.02.2024;6,859;;
13.02.2024;6,537;;
13.02.2024;6,341;;
13.02.2024;6,049;;
13.02.2024;6,006;;
13.02.2024;6,359;;
13.02.2024;7,069;;
13.02.2024;8,218;;
13.02.2024;8,91;;
13.02.2024;7,512;;
13.02.2024;6,921;;
13.02.2024;6,387;;
13.02.2024;6,053;;
13.02.2024;6,026;;
13.02.2024;6,31;;
13.02.2024;7,07;;
13.02.2024;7,836;;
13.02.2024;9,501;;
13.02.2024;9,988;;
13.02.2024;9,099;;
13.02.2024;7,797;;
13.02.2024;7,186;;
13.02.2024;6,839;;
13.02.2024;6,474;;
14.02.2024;6,063;;
14.02.2024;5,934;;
14.02.2024;5,576;;
14.02.2024;5,479;;
14.02.2024;5,506;;
14.02.2024;5,843;;
14.02.2024;6,323;;
14.02.2024;7,274;;
14.02.2024;7,973;;
14.02.2024;6,965;;
14.02.2024;6,386;;
14.02.2024;6,329;;
14.02.2024;6,263;;
14.02.2024;6,382;;
14.02.2024;6,903;;
14.02.2024;7,223;;
14.02.2024;7,854;;
14.02.2024;8,297;;
14.02.2024;8,758;;
