Zeit;pv
24.01. 00:00;0
24.01. 01:00;0
24.01. 02:00;0
24.01. 03:00;0
24.01. 04:00;0
24.01. 05:00;0
24.01. 06:00;0
24.01. 07:00;0
24.01. 08:00;2,1812
24.01. 09:00;19,853
24.01. 10:00;28,079
24.01. 11:00;44,913
24.01. 12:00;54,07
24.01. 13:00;33,59
24.01. 14:00;29,134
24.01. 15:00;8,4397
24.01. 16:00;2,1766
24.01. 17:00;0
24.01. 18:00;0
24.01. 19:00;0
24.01. 20:00;0
24.01. 21:00;0
24.01. 22:00;0
24.01. 23:00;0
25.01. 00:00;0
25.01. 01:00;0
25.01. 02:00;0
25.01. 03:00;0
25.01. 04:00;0
25.01. 05:00;0
25.01. 06:00;0
25.01. 07:00;0
25.01. 08:00;2,8434
25.01. 09:00;19,614
25.01. 10:00;23,811
25.01. 11:00;18,138
25.01. 12:00;16,987
25.01. 13:00;12,892
25.01. 14:00;11,049
25.01. 15:00;5,2644
25.01. 16:00;0,96523
25.01. 17:00;0
25.01. 18:00;0
25.01. 19:00;0
25.01. 20:00;0
25.01. 21:00;0
25.01. 22:00;0
25.01. 23:00;0
26.01. 00:00;0
26.01. 01:00;0
26.01. 02:00;0
26.01. 03:00;0
26.01. 04:00;0
26.01. 05:00;0
26.01. 06:00;0
26.01. 07:00;0
26.01. 08:00;5,3283
26.01. 09:00;26,986
26.01. 10:00;30,407
26.01. 11:00;20,521
26.01. 12:00;25,45
26.01. 13:00;69,415
26.01. 14:00;73,28
26.01. 15:00;37,782
26.01. 16:00;3,8791
26.01. 17:00;0
26.01. 18:00;0
26.01. 19:00;0
26.01. 20:00;0
26.01. 21:00;0
26.01. 22:00;0
26.01. 23:00;0
27.01. 00:00;0
27.01. 01:00;0
27.01. 02:00;0
27.01. 03:00;0
27.01. 04:00;0
27.01. 05:00;0
27.01. 06:00;0
27.01. 07:00;0
27.01. 08:00;6,3538
27.01. 09:00;12,181
27.01. 10:00;24,086
27.01. 11:00;28,585
27.01. 12:00;51,881
27.01. 13:00;42,075
27.01. 14:00;19,175
27.01. 15:00;7,0465
27.01. 16:00;0
27.01. 17:00;0
27.01. 18:00;0
27.01. 19:00;0
27.01. 20:00;0
27.01. 21:00;0
27.01. 22:00;0
27.01. 23:00;0
28.01. 00:00;0
28.01. 01:00;0
28.01. 02:00;0
28.01. 03:00;0
28.01. 04:00;0
28.01. 05:00;0
28.01. 06:00;0
28.01. 07:00;0
28.01. 08:00;6,6908
28.01. 09:00;31,554
28.01. 10:00;37,96
28.01. 11:00;20,677
28.01. 12:00;18,802
28.01. 13:00;15,82
28.01. 14:00;13,595
28.01. 15:00;9,1945
28.01. 16:00;0,96071
28.01. 17:00;0
28.01. 18:00;0
28.01. 19:00;0
28.01. 20:00;0
28.01. 21:00;0
28.01. 22:00;0
28.01. 23:00;0
29.01. 00:00;0
29.01. 01:00;0
29.01. 02:00;0
29.01. 03:00;0
29.01. 04:00;0
29.01. 05:00;0
29.01. 06:00;0
29.01. 07:00;0
29.01. 08:00;8,582
29.01. 09:00;41,676
29.01. 10:00;43,227
29.01. 11:00;28,772
29.01. 12:00;22,698
29.01. 13:00;17,395
29.01. 14:00;12,175
29.01. 15:00;5,6321
29.01. 16:00;0
29.01. 17:00;0
29.01. 18:00;0
29.01. 19:00;0
29.01. 20:00;0
29.01. 21:00;0
29.01. 22:00;0
29.01. 23:00;0
30.01. 00:00;0
30.01. 01:00;0
30.01. 02:00;0
30.01. 03:00;0
30.01. 04:00;0
30.01. 05:00;0
30.01. 06:00;0
30.01. 07:00;0
30.01. 08:00;4,5683
30.01. 09:00;18,111
30.01. 10:00;15,85
30.01. 11:00;16,951
30.01. 12:00;22,155
30.01. 13:00;17,658
30.01. 14:00;10,266
30.01. 15:00;5,9369
30.01. 16:00;0,68472
30.01. 17:00;0
30.01. 18:00;0
30.01. 19:00;0
30.01. 20:00;0
30.01. 21:00;0
30.01. 22:00;0
30.01. 23:00;0
31.01. 00:00;0
31.01. 01:00;0
31.01. 02:00;0
31.01. 03:00;0
31.01. 04:00;0
31.01. 05:00;0
31.01. 06:00;0
31.01. 07:00;0
31.01. 08:00;3,1197
31.01. 09:00;15,17
31.01. 10:00;14,427
31.01. 11:00;10,437
31.01. 12:00;19,875
31.01. 13:00;14,395
31.01. 14:00;9,0137
31.01. 15:00;6,1914
31.01. 16:00;1,5235
31.01. 17:00;0
31.01. 18:00;0
31.01. 19:00;0
31.01. 20:00;0
31.01. 21:00;0
31.01. 22:00;0
31.01. 23:00;0
01.02. 00:00;0
01.02. 01:00;0
01.02. 02:00;0
01.02. 03:00;0
01.02. 04:00;0
01.02. 05:00;0
01.02. 06:00;0
01.02. 07:00;0
01.02. 08:00;8,0811
01.02. 09:00;22,411
01.02. 10:00;22,371
01.02. 11:00;24,945
01.02. 12:00;29,363
01.02. 13:00;25,254
01.02. 14:00;18,938
01.02. 15:00;9,438
01.02. 16:00;0,6787
01.02. 17:00;0
01.02. 18:00;0
01.02. 19:00;0
01.02. 20:00;0
01.02. 21:00;0
01.02. 22:00;0
01.02. 23:00;0
02.02. 00:00;0
02.02. 01:00;0
02.02. 02:00;0
02.02. 03:00;0
02.02. 04:00;0
02.02. 05:00;0
02.02. 06:00;0
02.02. 07:00;0
02.02. 08:00;10,609
02.02. 09:00;11,698
02.02. 10:00;19,436
02.02. 11:00;21,28
02.02. 12:00;23,126
02.02. 13:00;22,362
02.02. 14:00;14,594
02.02. 15:00;7,3322
02.02. 16:00;0
02.02. 17:00;0
02.02. 18:00;0
02.02. 19:00;0
02.02. 20:00;0
02.02. 21:00;0
02.02. 22:00;0
02.02. 23:00;0
03.02. 00:00;0
03.02. 01:00;0
03.02. 02:00;0
03.02. 03:00;0
03.02. 04:00;0
03.02. 05:00;0
03.02. 06:00;0
03.02. 07:00;0
03.02. 08:00;3,1352
03.02. 09:00;7,6071
03.02. 10:00;12,253
03.02. 11:00;15,517
03.02. 12:00;14,776
03.02. 13:00;30,896
03.02. 14:00;20,95
03.02. 15:00;8,2847
03.02. 16:00;2,452
03.02. 17:00;0
03.02. 18:00;0
03.02. 19:00;0
03.02. 20:00;0
03.02. 21:00;0
03.02. 22:00;0
03.02. 23:00;0
04.02. 00:00;0
04.02. 01:00;0
04.02. 02:00;0
04.02. 03:00;0
04.02. 04:00;0
04.02. 05:00;0
04.02. 06:00;0
04.02. 07:00;0
04.02. 08:00;3,7673
04.02. 09:00;8,9502
04.02. 10:00;9,6505
04.02. 11:00;15,739
04.02. 12:00;13,204
04.02. 13:00;11,771
04.02. 14:00;9,6264
04.02. 15:00;5,4286
04.02. 16:00;0,66681
04.02. 17:00;0
04.02. 18:00;0
04.02. 19:00;0
04.02. 20:00;0
04.02. 21:00;0
04.02. 22:00;0
04.02. 23:00;0
05.02. 00:00;0
05.02. 01:00;0
05.02. 02:00;0
05.02. 03:00;0
05.02. 04:00;0
05.02. 05:00;0
05.02. 06:00;0
05.02. 07:00;0
05.02. 08:00;16,849
05.02. 09:00;26,973
05.02. 10:00;38,415
05.02. 11:00;33,956
05.02. 12:00;26,608
05.02. 13:00;65,577
05.02. 14:00;55,044
05.02. 15:00;26,178
05.02. 16:00;8,6897
05.02. 17:00;0
05.02. 18:00;0
05.02. 19:00;0
05.02. 20:00;0
05.02. 21:00;0
05.02. 22:00;0
05.02. 23:00;0
06.02. 00:00;0
06.02. 01:00;0
06.02. 02:00;0
06.02. 03:00;0
06.02. 04:00;0
06.02. 05:00;0
06.02. 06:00;0
06.02. 07:00;0
06.02. 08:00;11,24
06.02. 09:00;27,869
06.02. 10:00;30,068
06.02. 11:00;25,203
06.02. 12:00;17,433
06.02. 13:00;39,271
06.02. 14:00;68,534
06.02. 15:00;30,932
06.02. 16:00;2,4825
06.02. 17:00;0
06.02. 18:00;0
06.02. 19:00;0
06.02. 20:00;0
06.02. 21:00;0
06.02. 22:00;0
06.02. 23:00;0
07.02. 00:00;0
07.02. 01:00;0
07.02. 02:00;0
07.02. 03:00;0
07.02. 04:00;0
07.02. 05:00;0
07.02. 06:00;0
07.02. 07:00;0
07.02. 08:00;7,0348
07.02. 09:00;15,736
07.02. 10:00;29,484
07.02. 11:00;37,313
07.02. 12:00;46,27
07.02. 13:00;52,595
07.02. 14:00;32,034
07.02. 15:00;17,912
07.02. 16:00;4,8705
07.02. 17:00;0
07.02. 18:00;0
07.02. 19:00;0
07.02. 20:00;0
07.02. 21:00;0
07.02. 22:00;0
07.02. 23:00;0
08.02. 00:00;0
08.02. 01:00;0
08.02. 02:00;0
08.02. 03:00;0
08.02. 04:00;0
08.02. 05:00;0
08.02. 06:00;0
08.02. 07:00;0
08.02. 08:00;15,616
